ingredient_name,category,risk_level,explanation,caution_group,allergen_type
Triacetin,Humectant,Low,Used as solvent and plasticizer in food flavorings,General consumers,NULL
Acetylated monoglycerides,Emulsifier,Moderate,Used in bakery products to improve texture,Sensitive individuals,NULL
Lactic acid esters of mono and diglycerides,Emulsifier,Moderate,Used to stabilize food emulsions,Sensitive individuals,NULL
Stearyl tartrate,Emulsifier,Moderate,Used in baking to improve dough stability,Sensitive individuals,NULL
Potassium stearate,Emulsifier,Low,Used as stabilizer and emulsifying agent in foods,General consumers,NULL
Sodium lauryl sulfate,Emulsifier,Moderate,Surfactant used in some food processing applications,Sensitive individuals,NULL
Rice bran extract,Flavor Enhancer,Low,Extract used to enhance savory taste in snack seasonings,General consumers,NULL
Hydrolyzed vegetable protein,Flavor Enhancer,Moderate,Protein hydrolysate used to create strong umami flavor in noodles and snacks,Sensitive individuals,Soy
Autolyzed yeast extract,Flavor Enhancer,Moderate,Processed yeast ingredient used to enhance savory flavor in instant foods,Sensitive individuals,NULL
Yeast powder,Flavoring Ingredient,Low,Dried yeast used in seasoning mixes for savory taste,General consumers,NULL
Spice oleoresin,Flavor Concentrate,Low,Concentrated extract of spices used in masala blends,General consumers,NULL
Capsicum extract,Flavoring Agent,Moderate,Concentrated chili extract used to add heat to snacks,Sensitive individuals,NULL
Onion extract,Flavoring Agent,Low,Concentrated onion flavor used in seasoning powders,General consumers,NULL
Garlic extract,Flavoring Agent,Low,Concentrated garlic flavor used in processed foods,General consumers,NULL
Curry powder blend,Seasoning Mix,Low,Blend of ground spices used in instant noodles and snacks,General consumers,NULL
Masala seasoning,Seasoning Mix,Low,Prepared spice mixture used in instant foods,General consumers,NULL
Salt substitute blend,Mineral Additive,Moderate,Low sodium salt mixture used in processed foods,Hypertension patients,NULL
Potato granules,Thickener,Low,Dehydrated potato particles used to thicken soups and sauces,General consumers,NULL
Rice maltodextrin,Carbohydrate Additive,Moderate,Processed carbohydrate used as filler in seasoning mixes,Diabetic individuals,NULL
Dried glucose syrup,Carbohydrate Additive,Moderate,Solid form of glucose syrup used in snacks and biscuits,Diabetic individuals,NULL
Palm stearin,Fat Source,Moderate,Fraction of palm oil used in biscuits and bakery fats,Heart patients,NULL
Vegetable monoesters,Emulsifier,Moderate,Used in bakery products to improve dough texture,Sensitive individuals,NULL
Sorbitan monostearate,Emulsifier,Moderate,Emulsifier used in bakery and confectionery products,Sensitive individuals,NULL
Sorbitan tristearate,Emulsifier,Moderate,Stabilizer used in processed bakery products,Sensitive individuals,NULL
Enzyme modified starch,Thickener,Moderate,Starch modified using enzymes to improve texture,Sensitive individuals,NULL
Thermally modified starch,Thickener,Moderate,Heat processed starch used to stabilize food texture,Sensitive individuals,NULL
Hydrolyzed corn protein,Flavor Enhancer,Moderate,Protein ingredient used in savory seasoning blends,Sensitive individuals,NULL
Dehydrated soy sauce powder,Flavoring Ingredient,Moderate,Dried soy sauce used in instant noodle seasoning,People with soy allergy,Soy
Mushroom powder,Flavor Enhancer,Low,Natural umami ingredient used in seasoning blends,General consumers,NULL
Seaweed powder,Flavor Enhancer,Low,Marine plant powder used in noodle seasoning,General consumers,NULL
Tomato powder,Flavoring Ingredient,Low,Dehydrated tomato used in sauces and seasoning mixes,General consumers,NULL
Spinach extract powder,Coloring Agent,Low,Plant extract used for natural green coloring,General consumers,NULL
Caramelized sugar syrup,Coloring Agent,Moderate,Dark sugar syrup used to enhance color and flavor,Sensitive individuals,NULL
Butter flavor compound,Flavoring Agent,Moderate,Synthetic compound used to mimic butter flavor,Sensitive individuals,NULL
Cheese flavor powder,Flavoring Agent,Moderate,Processed flavor used in snack and noodle seasonings,Lactose intolerant individuals,Milk
Cream flavor compound,Flavoring Agent,Moderate,Artificial flavor used in biscuits and dairy snacks,Sensitive individuals,NULL
Roasted garlic powder,Flavoring Ingredient,Low,Processed garlic used in seasoning blends,General consumers,NULL
Roasted onion powder,Flavoring Ingredient,Low,Processed onion powder used in snack flavoring,General consumers,NULL
Milk fat,Dairy Fat,Moderate,Primary fat component used in ice cream for creamy texture,Lactose intolerant individuals,Milk
Milk permeate,Dairy Ingredient,Moderate,Dairy byproduct used in chocolate and dairy products,Lactose intolerant individuals,Milk
Sweet whey powder,Dairy Ingredient,Moderate,Byproduct of cheese production used in confectionery,Lactose intolerant individuals,Milk
Butterfat,Dairy Fat,Moderate,Milk derived fat used to enhance richness in ice cream,Lactose intolerant individuals,Milk
Milk crumb,Chocolate Ingredient,Moderate,Mixture of milk and sugar used in milk chocolate production,Lactose intolerant individuals,Milk
Chocolate coating compound,Confectionery Ingredient,Moderate,Chocolate like coating used in confectionery products,General consumers,NULL
Cocoa mass,Chocolate Ingredient,Low,Ground cocoa beans used as base ingredient in chocolate,General consumers,NULL
Cocoa nibs,Chocolate Ingredient,Low,Crushed cocoa bean pieces used in chocolates,General consumers,NULL
Hazelnut paste,Nut Ingredient,Moderate,Ground hazelnuts used in chocolate fillings,People with nut allergy,Tree Nut
Hazelnut pieces,Nut Ingredient,Moderate,Chopped hazelnuts used in confectionery products,People with nut allergy,Tree Nut
Cashew nut pieces,Nut Ingredient,Moderate,Chopped cashews used in ice creams and sweets,People with nut allergy,Tree Nut
Wafer crumbs,Bakery Ingredient,Moderate,Crushed wafer pieces used in ice cream inclusions,People with gluten intolerance,Gluten
Cookie crumbs,Bakery Ingredient,Moderate,Crushed biscuit pieces added to ice creams and desserts,People with gluten intolerance,Gluten
Chocolate chips,Confectionery Ingredient,Moderate,Small chocolate pieces used in desserts and ice creams,General consumers,NULL
Chocolate flakes,Confectionery Ingredient,Moderate,Thin chocolate shavings used in ice cream toppings,General consumers,NULL
Caramel syrup,Flavoring Agent,Moderate,Sweet syrup used to flavor desserts and ice creams,Diabetic individuals,NULL
Butterscotch flavor,Flavoring Agent,Moderate,Artificial flavor used in ice cream and confectionery,Sensitive individuals,NULL
Toffee bits,Confectionery Ingredient,Moderate,Small caramelized sugar pieces used in desserts,General consumers,NULL
Cheese powder,Flavoring Ingredient,Moderate,Dehydrated cheese used in chips and snack seasonings,Lactose intolerant individuals,Milk
Sour cream powder,Dairy Ingredient,Moderate,Dehydrated sour cream used in chips flavoring,Lactose intolerant individuals,Milk
Buttermilk solids,Dairy Ingredient,Moderate,Dried buttermilk used in snack seasoning,Lactose intolerant individuals,Milk
Barbecue seasoning,Seasoning Mix,Moderate,Flavor blend used in potato chips and snacks,Sensitive individuals,NULL
Cheddar flavor,Flavoring Agent,Moderate,Artificial cheddar flavor used in snack foods,Lactose intolerant individuals,Milk
Sour cream flavor,Flavoring Agent,Moderate,Flavor compound used in chips seasoning,Sensitive individuals,NULL
Wasabi powder,Flavoring Ingredient,Moderate,Spicy flavoring used in flavored snack products,Sensitive individuals,NULL
Sea salt seasoning,Seasoning Mix,Low,Seasoned salt blend used in snack flavoring,General consumers,NULL
Smoked flavor,Flavoring Agent,Moderate,Flavor compound used to create smoky taste in snacks,Sensitive individuals,NULL
Caramel fudge sauce,Flavoring Ingredient,Moderate,Sweet sauce used in ice cream products,Diabetic individuals,NULL
Chocolate syrup,Flavoring Ingredient,Moderate,Sweet chocolate sauce used in desserts and beverages,Diabetic individuals,NULL
Peanut butter paste,Nut Ingredient,Moderate,Ground peanut spread used in chocolates and desserts,People with peanut allergy,Peanut
Praline paste,Nut Ingredient,Moderate,Caramelized nut paste used in chocolates and desserts,People with nut allergy,Tree Nut
Crispy rice pieces,Texture Ingredient,Low,Expanded rice pieces used for crunch in chocolates,General consumers,NULL
Corn snack pellets,Snack Base,Moderate,Processed corn base used in chip manufacturing,General consumers,NULL
Potato granules base,Snack Base,Low,Processed potato material used in chips production,General consumers,NULL
