Product_name,Brand_name,Ingredients
Chhole masala,Everest,"Coriander, Dried Mango, Chilli, Cumin, Cassia Leaf, Mint Leaf, Pomegranate seed, Mustard, Cassia Bark (Taj), Clove, Black Pepper, Fennel, Dried Ginger, lodized Salt, Black Salt, Nutmeg, Mace, Caraway, Black Cardamom, Turmeric, Bishop's Weed, Compounded Asafoetida, Tamarind and Citric Acid."
Chicken masala,Everest,"Coriander, Chilli, Cumin, Black Pepper,
Garlic, Cassia Bark (Taj),
Dried Ginger, Nutmeg,
Mace, Clove, Black Cardamom, Fenugreek, Dried Fenugreek Leaf, Black gram, Bengal gram, Compounded Asafoetida, lodized Salt and Turmeric."
Chaat masala,Everest,"
Rock Salt, Black Salt, Dried Mango, Cumin, Pomegranate seed, Black Pepper, Dried Ginger, Chilli, Mint Leaf, Nutmeg, Bishop's Weed, Citric Acid and Compounded Asafoetida."
Sabji masala,Everest,"Coriander, Chilli, Dried Mango, Cassia Leaf, Cumin, Turmeric, Black Pepper, Clove, Dried Ginger, Black Cardamom, Nutmeg, Iodised Salt"
Pani Puri masala,Everest,"Rock Salt, Dried Mango, Cumin, Chilli, Black Salt, Mint Leaf, Black Pepper, Dried Ginger, Tamarind, Citric Acid"
"Britannia Nutrichoice Digestive High-Fibre Biscuits, 960 g",Britannia,"WHEAT FLOUR (ATTA) (65.5%), REFINED PALM OIL, SUGAR, WHEAT BRAN (2.6%), MALTODEXTRIN, MILK PRODUCTS [MILK SOLIDS & WHEY POWDER], INVERT SUGAR SYRUP, RAISING AGENTS [503(ii) & 500(ii)], IODISED SALT, EMULSIFIERS [322(i) & 471], MALT EXTRACT, NATURE IDENTICAL & ARTIFICIAL (VANILLA)"
Good Day - Nuts Cookie,Britannia,"The ingredients listed on the image are: Wheat flour (Maida), Vegetable oil (Palm), Sugar, Invert syrup, Almond (1.7%), Emulsifiers (322, 472e), Milk solids, Raising agent (503(ii)), Butter (1.5%), Emulsifiers (322), Colour (160a) and added flavours (Nature identical and artificial), with permitted synthetic food colours (110) and added flavours (Nature identical and artificial). It contains wheat, nuts, milk, and soya"
Potato Chips - Cream & Onion,Lay's ,"Potato, Edible Vegetable Oil (Palmolein, Sunflower Oil), Seasoning (Sugar, Iodized Salt, Milk Solids, Spices And Condiments, Maltodextrin, Flavour (Natural And Nature Identical Flavouring Substances), Cheese Powder, Hydrolysed Vegetable Protein, Flavour Enhancers (627, 631), Edible Vegetable Oil (Palm, Coconut), Anticaking Agent (551). *as Flavouring Agent. Contains"
Hot N Sweet Potato Chips,Lay's ,"Potato, Edible Vegetable Oil (Palmolein Oil), Seasoning (Sugar, Maltodextrin, Iodised Salt, Flavour (Natural and Nature Identical Flavouring Substances), Spices & Condiments, Flavour Enhancers (627 & 631)), Edible Vegetable Oil (Palm, Sunflower, Peanut), Hydrolysed Vegetable Protein, Anticaking agent (551), Cocoa Solids, Lactose, As flavouring agent, Contains Onion"
Potato Chips - India's Masala Magic Flavour,Lay's ,"Potato, Edible Vegetable Oil (Palmolein, Sunflower Oil), Seasoning (~spices And Condiments, Iodized Salt, Maltodextrin, Black Salt, Sugar, Tomato Powder, Acidity Regulators (330, 296, 334), Flavour (Natural And Nature Identical Flavouring Substances), Anticaking Agent (551), Colour (160c)). As Flavouring Agent. Contains Onion And Garlic."
Namkeen - Masala Munch,Kurkure,"Rice Meal, Edible Vegetable Oil, Corn Meal, Spices And Condiments (Onion Powder, Chilli Powder, Coriander Powder, Ginger Powder, Garlic Powder, Black Pepper Powder, Turmeric Powder, Fenugreek Powder), Salt, Black Salt, Tomato"
"Muesli Fruit, Nut & Seed",Kellogg's,"Multigrain Mix (66%) {Corn Grits (18.3%), Wheat (16.5%) Rolled Barley (8%), Rolled Oats (8%), Rice (9.7%), Ragi Millet Flour (3.5%), Rice Flour, Corn Meal, Refined Wheat Flour (Maida)], Candied Fruits, Dry Fruits, Nut & Seed (21%)"
Multi Grain,Kellogg's,"Multigrain Flour Mix (64.8%), Wheat Flour (Atta) (55.8%), Sorghum (Jowar) Flour (3%), Rice Flour (3%), Corn Meal (3%), Sugar, Cocoa Solids (5.3%), Minerals, Cereal Extract, Iodized Salt, Colours (INS 150a, INS 150d), Edible Vegetable"
Mixed fruit juice,Real,"Water, Sugar, Concentrated Mixed Fruit juice (8.2%)^
[From Apple, Orange, Guava,
Passion Fruit, Pineapple). Acidity Regulator (INS 330).
and Antioxidant (INS 300).
Apricot, Mango, Banana, Lim Stabilizer (INS 440), Flavours (Natural and Nature Identica Flavouring Substances), Colour [INS 160a (ii) & (iii)]"
Alphonso Mango juice,Real,"Water, Alphonso Mango Pulp (22%)^, Sugar, Acidity Regulator (INS 330), Stabilizer (INS 440), Antioxidant (INS 300), Colour [INS 160 a (iii)) and Flavours (Natural Flavouring Substances)."
Pomogranate juice,Real,"Water, Pomegranate Juice (30%)^, Sugar, Liquid Glucose, Acidity Regulator (INS 330), lodized Salt, Antioxidant (INS 300), Colour [INS 163(ii)] and Flavours (Natural Flavouring Substances)."
Orange juice,Real,"Water, Sugar, Concentrated Orange Juice
(6.45%). Acidity Regulator (INS 330), lodized Salt. Flavours (Natural and Nature Identical Flavouring Substances), Stabilizer (INS 466), Antioxidant (INS 300) and Colour [INS 160a (iii)"
Cranberry juice,Real,"Water, Sugar, Concentrated
Cranberry Juice (1.8%)^,
Concentrated Apple Juice
(0.79%)^, Acidity Regulator
(INS 330), Flavours (Natura
and Nature Identical
Flavouring Substances),
Antioxidant (INS 300) and
Colour [INS 163 (ii)]."
Guava juice,Real,"Water, Guava Pulp (24.9%), Sugar, Acidity Regulator (Ins 330), Stabilizer (Ins 440), Antioxidant (Ins 300) And Salt. Contains Added Nature Identical Guava Flavour. No Added Colour Or Preservatives."
Pineapple juice,Real,"Water, Concentrated
Pineapple Juice (8.5%)^.
Sugar, Acidity Regulator (INS 330), Stabilizer (INS 440), Flavours (Natural and Nature Identical Flavouring Substances) and Antioxidant (INS 300)."
Mosambi juice,Real,"
Water, Sweet Lime (Mosambi) Juice Concentrate (24.10%)*, Sugar, Antioxidant (Ins 300) And Acidity Regulator (Ins 330)"
Apple juice,Real,"Water, Sugar, Liquid Glucose, Apple Juice Concentrate (3.30%), Acidity Regulator (INS 296), Antioxidant (INS 300), Permitted Natural Colour (INS 160A), Added Natural Apple Flavour"
Litchi juice,Real,"Water, Sugar, Litchi Pulp (20.1%), Concentrated Litchi Pulp (0.42%)^, Stabilizers (INS 440). Acidity Regulator (INS 296), Antioxidant (INS 300) and Flavours (Nature Identical Flavouring Substances)."
Rose syrup,Malas,"Sugar, Water, Rose Extract (10%), Rose Petals (2% Citric Acid (E 330) Contains Permitted Synthetic Food Colour (E 122) & Added Flavours (Natural, Natural Identical & Artificial Flavouring Substances) Rose Contains Permitted Class Ii Preservatives (E 224)"
Pineapple crush,Malas,"Sugar, Pineapple Pulp (35%), Water, Thickener (E440), Acidity Regulator (E 330 & E 331(I)), Firming Agent (E 509). Contains Permitted Nature Identical & Artificial Flavouring Substances (Pineapple). Contains Permitted Synthetic Food Colours (E 102) Contains Class II Preservatives (E 21i, E 202)"
Litchi crush,Malas,"Sugar, Litchi Pulp (35%)., Water, Thickener (E 440), Acidity Regulator (E 330 & E 331()), Firming Agent (E 509), Permitted Nature Identical Flavouring Substances (Litchi), Permitted Synthetic Food Colours (E 171), Class Ii Preservatives (E 211, E 202)"
Blackcurrant crush,Malas,"Sugar, Black Currant Pulp (35%), Water, Thickener (E 440), Acidity Regulator (E 330 & E 331(I)), Firming Agent (E 509), Contains Permitted Nature Identical Flavouring Substances (Black Currant), Contains Permitted Synthetic Food Colours (E 122, E 133 &E 127), Contains Class Ii Preservatives (E 223, E 211, E 202)"
Kala Khatta,Malas,"Sugar, Water, Grape Juice (15%), Blackcurrant Juice (10%) Thickening Agent (E 440), Acidity Regulator (E 330) Contains Permitted Natural (E 150d) & Synthetic Food Colour (E 122) & Added Flavours (Natural, Nature Identical& Artificial Flavouring Substances) Kalakhatta Contains Permitted (Lass Ii Preservatives (E 211 & E 202)."
Khus syrup,Malas,"Sugar, Water, Khus Extract (10%), Citric Acid (E 330), Contains Permitted Synthetic Food Colour (E 133 &E I02) Added Flavours (Natural & Nature Identical Flavouring Substances) Khus Contains Permitted Class II Preservatives (E224)"
Strawberry crush,Malas,"Sugar, Strawberry Whole Fruits (35%), Water Thickener (E 440), Acidity Regulator (E 330), Permitted Synthetic Food Colours (E 122), Added Flavours Natural, Nature Identical, Artificial Flavouring Substances (Strawberry), Permitted Class II Preservatives (E 223, E 211)"
Rooh Afza,Hamdard,"Sugar syrup 87.8%, Distillate of (Gul Neelofar, Dhania, Khas Hindi, Gulab, Kasni, Chharila, Berg Gawzaban, Pudina, Sandal Safaid, Tukhm Gazar, Munaqqa) 4.5%, Pineapple Juice 2.6%, Orange Juice 1.0%, Acidity regulator (INS 330) 0.15%, Distillate of Keora and Gulab used as natural flavouring agent."
Nagpur orange,Rasna,"SUGAR, FRUIT JUICE POWDER, FRUITAND VEGETABLE EXTRACT, ACIDITY REGULATOR (INS 330), MALTODEXTRIN, EMULSIFYING AND STABILIZING AGENTS (INS 414, INS 415 INS 331.), GLUCOSE, FLAVOURS (NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES-ORANGE), FOOD COLORS (INS 171, INS 110, INS 102), VITAMINS, MINERALS SWEETENERS (INS 955, INS 960, INS 061), ANTICAKING AGENT (INS 551).
"
Mango Powder,Rasna,"SUGAR, FRUIT JUICE POWDER, FRUITAND VEGETABLE EXTRACT, ACIDITY REGULATOR (INS 330), MALTODEXTRIN, EMULSIFYING AND STABILIZING AGENTS (INS 414, INS 415, INS 331.), GLUCOSE, FLAVOURS (NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES-MANGO), FOOD COLORS (INS 171, INS 102, INS 110). VITAMINS MINERALS, SWEETENERS (INS 955, INS 960, INS 961), ANTICAKING AGENT (INS 551)"
American Pineapple,Rasna,"Fruit Juice/Fruit Powder, Acidity Regulators (INS 330, INS 296, INS 297), Glucose, Lactose, Emulsifiers & Stabilisers (INS 414, INS 331, INS 415), Edible Oils, Class I & II Preservatives (INS 211, INS 224), Mineral (INS 341), Other Minerals, Vitamins and Permitted Anticaking Agent (INS 551). Contains Permitted Synthetic Food Colour(s) (INS 102, INS 171) And Added Flavour(s) (Natural and Nature Identical Flavouring Substances (Pineapple)"
Insta Lemon,Rasna,"Sugar, Fruit Juice Powder, Fruit And Vegetable Extracts, Acidity Regulator (Ins 330), Glucose, Emulsifying And Stabilizing Agents (Ins 414, Ins 331, Ins 415). Vitamins, Minerals, Anticaking Agent (Ins 551) Contains Permitted Synthetic Food Colors (Ins 171, Ins 102) And Added Flavour(S) (Natural And Nature Identical Flavouring Substances (Lemon)."
Insta Mixed fruit,Rasna,"Sucrose, Mixed Fruit juice powder, Mixed Fruit and Vegetable Extracts, Acidity regulator (INS 330), Glucose, Emulsifying and Stabilising agents (INS 414, INS 331, INS 415), Vitamins, Minerals, Anticaking agent (INS 551)"
 Corn Rings,Crax,"Corn Grits (64%), Edible Vegetable Oil (Refined Palmolein Oil), *Seasoning [Sugar, Iodised Salt, Onion Powder (0.98%), Spices (Chilli, Cumin, Turmeric), Hydrolysed Soy Protein, Garlic Powder, Maltodextrin, Coriander, Acidity"
Curls Chatpata Masala Corn Puffs,Crax,"Corn Grits (65%), Edible Vegetable Oil (Refined Palmolein Oil), *Seasoning [Iodised Salt, Sugar, Onion Powder, Corn Starch, Chilli Powder, Garlic Powder, Hydrolysed Soy Protein, Coriander, Acidity Regulators (INS 330, INS 296),"
Mast Matar Namkeen,Crax,"Peas (74%), Edible Vegetable Oils (Refined Palmolein Oil and Refined Cotton Seed Oil), *Seasoning (Maltodextrin, Onion powder, Coriander Powder, Chili Powder, Cumin Powder, Amchur Powder, Garlic powder, Black Pepper"
Fritts Cream & Onion Corn & Potato Sticks,Crax,"Corn Grits (59%), Edible Vegetable Oil (Refined Palmolein Oil), Potato Solids (6.5%), *Seasoning [Sugar, Iodised Salt, Onion Powder (1.05%), Rice flour, Milk Solids (0.81%), Maltodextrin, Cheese Powder (0.22%), Anticaking"
Cheese Balls,Crax,"Corn Grits, Edible vegetable oil (Refined Palmolein oil), *Seasoning [Sugar, Maltodextrin, Milk Solids, Iodised Salt, Edible Vegetable Fat (Vanaspati), Dried Glucose, Stabilisers (INS 339(ii), INS 340(ii), INS 407), Dextrose, Emulsifier"
 Orange,Tang,"Sugar, Acidity Regulator (330), Orange Fruit Powder (0.9%*), Anticaking Agent (341(iii), Vitamins, Stabilizers (415, 466), Colours (171, 110, 102), Natural Flavouring Substances, Sweetener (955), lodised"
Lemon,Tang,"Sugar, Acidity Regulator (330), Lemon Fruit Powder (0.9%*), Iodised Salt, Vitamins, Anticaking Agent"
Chocolate Flavoured Milk,Smoodh ,"Milk Solids, Water, Sugar, Cocoa Solids (1%), Malt Extract, Emulsifiers & Stabilizers (INS 460), INS 471, INS 466, INS 407, INS 340, INS 452). Nature-Identical and Artificial Flavouring Substances and Salt. *(Equivalent to 90% M/M Double Toned Milk). Contains permitted added Flavour(Nature-Identical and Artficial Flavouring Substances (Chocolate). (INS-Internal"
Kesar Badam Flavoured Milk,Smoodh ,"Milk Solids*, Sugar, Emulsifiers And Stabilizers [INS 460(I), INS 471, INS 466, INS 407, INS 340, INS 452], Food Colour (INS 150c), Nature Identical Flavouring Substance (Kesar Badam), And Iodised Salt. *Equivalent To 90% m/m Double Toned Milk."
Ice Cream Shake Mango,Arun Icecreams,"Milk Solids, Mango Pulp (12%) (Mango, Acidity Regulator (330)), Sugar, Water, Liquid Glucose, Fructose, Lemon Juice, Humectant (422), Emulsifier (471), Stabilisers (410, 412 & 407), Colors (102, 110), Natural Flavour & lodised Salt."
Pista Flavored Ice Cream,Arun Icecreams,"INGREDIENTS: Milk Solids, Sugar, Water, Pista (2.6%), Liquid Glucose,Emulsifiers (471, 477), Stabilizers (410, 412), Nature-Identical Flavoring Substances & Colors (102, 133). Allergen Information: Contains Milk & Nuts. Manufactured in the same facility which processes Wheat, Oats & Soy."
Triago Vanilla Flavored Ice Cream,Arun Icecreams,"Inner Layer (57%): Ice Cream (Milk Solids, Sugar, Water, Liquid Glucose, Vanilla Powder, Emulsifiers (471, 477), Stabilisers (410, 412) & Natural Flavouring Substances). Outer Coating (43%): Penuche Choco Coating (Fractionated Fat (Sal, Palm & Emulsifier (Soy Lecithin)), Sugar, Milk Solids, Brown Sugar (2%), Cocoa Butter, Edible Vegetable Oil (Sunflower Oil), Cocoa"
Magnum Ice Cream Sticks - Almond,Kwality Wall's ,"Ice Cream: Water, Milk Solids, Sugar, Liquid Glucose, Emulsifier (E471), Stabilisers (E410, E412, E407), Natural Colour (Beta Carotene), Natural Flavouring; Chocolate Coating: Sugar, Cocoa Mass, Cocoa Butter, Emulsifier (Soya Lecithin), Stabiliser (E476); Almonds"
The Dairy Factory Chocolate Ice Cream,Kwality Wall's ,"Water, Sugar, Palm Oil, Milk Solids, Liquid Glucose, Cocoa Solids, Vegetable Protein (Soy), Emulsifier (E471), Stabilisers (E412, E410, E407)"
Cornetto - Butterscotch Frozen Dessert,Kwality Wall's ,"Ice Cream (66%): Milk Solids, Sugar, Permitted Emulsifiers (E471), Stabilizers (E407, E466, E415, E412); Topping and Spray (20%): Chocolate, Coconut Oil"
The Dairy Factory Vanilla Ice Cream,Kwality Wall's ,"Water, Milk Solids, Sugar, Liquid Glucose, Emulsifiers and Stabilizers (permitted); rich creamy vanilla flavor"
Maggi 2 Minute Noodles - Masala,Nestle ,"Refined wheat flour (maida), palm oil, refined palmolein oil, wheat gluten, salt, onion, cabbage, carrot, green peas, spices (coriander, turmeric, chili, cumin), hydrolyzed peanut protein, yeast extract, sugar, acidity regulators (471, 330), thickener (508), flavour enhancers (621, 627, 631), antioxidants (319, 320)"
KitKat Chocolate,Nestle ,"Sugar, wheat flour, vegetable fats (palm, shea, sal, illipe, mango kernel), cocoa mass, cocoa butter, milk powder, whey powder, emulsifiers (soya lecithin, E476), yeast, raising agent (sodium bicarbonate), salt, natural vanilla flavour."
Milkybar Chocolate,Nestle ,"Sugar, full cream milk powder, cocoa butter, emulsifier (soya lecithin), natural vanilla flavour."
Falero pulpy fruit chews,Mapro,"Strawberry Pulp (33%), Liquid Glucose (33%), Invert Sugar, Cane Sugar, Thickener (INS-440), Acidity Regulator (INS-330)"
Mixed fruit jam,Mapro,"Sugar, Mix Fruit Pulp (Papaya Pulp, Guava Pulp, Banana Pulp, Mango Pulp, Pineapple Pulp, Apple Pulp, Orange Juice, Strawberry Pulp) (45%), Water, Acidity Regulator (INS-330), Thickener (INS-440), Preservative (INS-211), Contains Permitted Synthetic Food Colour (INS-122) and Added Flavours-Natural, Nature Identical and Artificial Flavouring Substances (Mix Fruit)"
Mango crush,Mapro,"Sugar, Mango Pulp (27%), Water, Acidity Regulator (ins-330), Thickener (ins-440)"
Chataka Pataka,Balaji,"RICE MEAL (43%), EDIBLE VEGETABLE OIL (PALMOLEIN, RICE BRAN), CORN MEAL (13%), CHICKPEA FLOUR, EDIBLE COMMON SALT, SPICES & CONDIMENTS 2% (CUMIN, CHILLI, BLACK PEPPER, DRY MANGO), DEHYDRATED VEGETABLE POWDER (ONION, GARLIC), SUGAR, ACIDITY REGULATOR (INS 330), ANTICAKING AGENT (INS 551), FLAVOUR ENHANCER (INS 627, INS 631), NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES (GARLIC, BLACK PEPPER), PAPRIKA EXTRACT (INS 160C)"
Masala sev murmura,Balaji,"PUFFED RICE (45%), CHICKPEA FLOUR (25%), EDIBLE VEGETABLE OIL (PALMOLEIN, RICE BRAN), SPICES & CONDIMENTS 4% (CHILLI, BLACK PEPPER, CURRY LEAVES, OREGANO, ASAFOETIDA, CUMIN, GINGER), DEHYDRATED VEGETABLE POWDER (GARLIC, TAMARIND, ONION), RICE FLOUR, EDIBLE COMMON SALT, BLACK SALT, SUGAR, HYDROLYZED VEGETABLE PROTEIN (SOYA), NATURAL & NATURE IDENTICAL FLAVOURING SUBSTANCES (CHILLI, GARLIC), ACIDITY REGULATOR (INS 330), ANTICAKING AGENT (INS 551), FLAVOUR ENHANCER (INS 627, INS 631)"
Wheels,Balaji,"REFINED WHEAT FLOUR (MAIDA) (60%), EDIBLE VEGETABLE OIL (PALMOLEIN, RICE BRAN), TAPIOCA STARCH, CORN FLOUR, EDIBLE COMMON SALT, DEHYDRATED VEGETABLE POWDER (ONION, GARLIC, TAMARIND), SPICES & CONDIMENTS 2% (DRY MANGO, CHILLI, PEPPER, CUMIN), SUGAR, YEAST EXTRACT, ACIDITY REGULATOR (INS 296, INS 330, INS 334), NATURAL & NATURE IDENTICAL FLAVOURING SUBSTANCES (MASALA), FLAVOUR ENHANCER (INS 627, INS 631), ANTICAKING AGENT (INS 551, INS 341 (III)), PAPRIKA EXTRACT (INS 160C)
"
Chat Chaska,Balaji,"POTATO (88%), EDIBLE VEGETABLE OIL (PALMOLEN), EDIBLE COMMON SALT, SPICES & CONDIMENTS 0.5% (CUMIN, CHILLI, PARSLEY, GINGER, CINNAMON, BLACK PEPPER, DRY MANGO), DEHYDRATED VEGETABLE POWDER (ONION, GARLIC), SUGAR, MALTODEXTRIN, FLAVOUR ENHANCER (INS 627, INS 631), ACIDITY REGULATOR (INS 296, INS 330), ANTICAKING AGENT (INS 551), NATURAL & NATURE IDENTICAL FLAVOURING SUBSTANCES (CHAAT)"
Aloo sev,Balaji,"EDIBLE VEGETABLE OIL (PALMOLEIN), POTATO FLAKES (25%), CHICKPEA FLOUR (25%), RICE FLOUR, MALTODEXTRIN, EDIBLE COMMON SALT, SPICES & CONDIMENTS (DRY MANGO, CUMIN, FENNEL, CHILLI, CORIANDER, CLOVE, TURMERIC, PEPPER, CARDAMOM, GINGER), DEHYDRATED VEGETABLE POWDER (MINT 0.2%, GARLIC, TAMARIND), NATURAL & NATURE IDENTICAL FLAVOURING SUBSTANCES (MINT), ACIDITY REGULATOR (INS 330, INS 296), FLAVOUR ENHANCER (INS 635), ANTICAKING AGENT (INS 551, INS 341 (III))"
Simply salted,Balaji,"Potato (89%), Edible Vegetable Oil (Palmolein), lodized Salt (0.4%)"
Cream & Onion ,Balaji,"Potato (88%), Edible Vegetable Oil (Palmolein), Milk Solids (0.7%), Sugar, Iodized Salt, Onion Powder (0.4%), Herbs (Chives, Parsley), Acidity Regulator (INS 330), Anticaking Agent (INS 551)"
Sev murmura,Balaji,"PUFFED RICE (50%), CHICKPEA FLOUR (24%), EDIBLE VEGETABLE OIL (PALMOLEIN, RICE BRAN), RICE FLOUR, EDIBLE COMMON SALT, SPICES & CONDIMENTS (TURMERIC, CHILLI, CLOVE, GINGER, ASAFOETIDA, CURRY LEAVES)"
Farali Chevdo,Balaji,"POTATO (75%), ROASTED PEANUT (12%), EDIBLE VEGETABLE OIL (PALMOLEIN), SUGAR, ROCK SALT, SPICES & CONDIMENTS (CHILLI, CORIANDER, CUMIN, TURMERIC, DRY MANGO, CLOVE, CAROM SEED, GINGER, CINNAMON, CARDAMOM, NUTMEG, MACE, BAY LEAVES)"
Masala Masti,Balaji,"POTATO (87%), EDIBLE VEGETABLE OIL (PALMOLEIN), SUGAR, SPICES & CONDIMENTS 1% (CHILLI, DRY MANGO, CORIANDER, CUMIN, BLACK PEPPER, GINGER, CLOVE), EDIBLE COMMON SALT, BLACK SAL"
Curry Instant Noodles,Top Ramen,"NOODLES (85%): Wheat Flour, Edible Vegetable Oil (Palm), Iodised Salt, Acidity Regulators (INS 500(ii), INS 451(iii)), Thickener (INS 412) & Antioxidant (INS 319)., SEASONING MIX (15%): Corn Starch, Iodised Salt, Sugar, Onion Powder, Spice Mix - 8.8% Red Chilli, Turmeric, Coriander, Cumin, Ginger, Cinnamon, Fenugreek, Clove & Asafoetida., Noodle Powder (Wheat Flour, Edible Vegetable Oil (Palm), Iodised Salt, Acidity Regulators (INS 500(ii), INS 451(iii), Thickener (INS 412) & Antioxidant (INS 319))., Edible Vegetable Oil (Palm), Flavour Enhancers (Yeast Extract, INS 627, INS 631), Garlic, Tomato Powder, Acidity Regulator (INS 330), Colours (INS 160c(ii), INS 150d), Anticaking Agent (INS 551) & Antioxidant (INS 319)."
Instant Masala noodles,Top Ramen,"Noodles (91%): Wheat Flour, Edible Vegetable Oil (Palm), Iodised Salt, Acidity Regulators (INS 451(i), INS 500(ii)), Spice Mix 0.17% (Turmeric, Coriander, Cumin & Red Chilli), Antioxidant (INS 319) & Thickener (INS 412)., Seasoning Mix (9%): Sugar, Spice Mix 17.51% (Coriander, Turmeric, Cumin, Red Chilli, Ginger, Fenugreek, Black Pepper, Clove, Cinnamon, Green Cardamom, Nutmeg & Star Anise), Iodised Salt, Hydrolysed Vegetable Protein (Soya), Onion Powder, Noodle Powder (Wheat Flour, Edible Vegetable Oil (Palm), Iodised Salt, Acidity Regulators (INS 451(i), INS 500(ii)), Spice Mix 0.17% (Turmeric, Coriander, Cumin & Red Chilli), Antioxidant (INS 319) & Thickener (INS 412)), Corn Starch, Garlic Powder, Flavour Enhancers (INS 631, INS 627, Yeast Extract), Acidity Regulator (INS 330) & Colour (INS 100(ii))."
Instant curry noodes,Top Ramen,"Noodles (85%): Refined Wheat Flour (Maida), Edible Vegetable Oil (Palm Oil), Iodised Salt, Acidity Regulators (INS 500(ii) & INS 451(i)), Thickener (INS 412) & Antioxidant (INS 319)., Seasoning Mix (15%): Corn Starch, Iodised Salt, Sugar, Onion Powder, Mixed Spices 7.9% (Red Chili, Turmeric, Cumin, Ginger, Cinnamon, Fenugreek, Clove & Asafoetida), Noodle Powder (Refined Wheat Flour (Maida), Edible Vegetable Oil (Palm Oil), Iodised Salt, Acidity Regulators (INS 500(ii) & INS 451(i)), Thickener (INS 412) & Antioxidant (INS 319)), Yeast Extract Powder, Edible Vegetable Oil (Palm Oil), Garlic Powder, Tomato Powder, Flavour Enhancers (INS 631 & INS 627), Dehydrated Green Coriander Leaves, Acidity Regulator (INS 330), Colours (INS 160c(i) & INS 150d), Nature Identical Flavour & Anticaking Agent (INS 551)."
Fiery Chillli Instant Noodles,Top Ramen,"NOODLES [89.29%]: Wheat Flour, Edible Vegetable Oil (Palm), Iodised Salt, Acidity Regulators (INS 451(i), INS 500(i)), Red Chilli Powder, Colour (INS 160c(ii)), Antioxidant (INS 319) & Thickener (INS 412), SEASONING MIX [10.71%]: Sugar, Iodised Salt, Noodle Powder (Wheat Flour, Edible Vegetable Oil (Palm), Iodised Salt, Acidity Regulators (INS 451(i), INS 500(i)), Red Chilli Powder, Colour (INS 160c(ii)), Antioxidant (INS 319) & Thickener (INS 412)), Spice Mix - 12.13% (Red Chilli, Chilli Flake & Cumin), Flavour Enhancers (Yeast Extract, INS 631, INS 627), Garlic Powder, Onion Powder, Edible Vegetable Oil (Palm), Acidity Regulator (INS 330) & Colour (INS 160c(i))"
Masala Instant Atta Noodles,Top Ramen,"Noodles (62.75%) – Maida (Wheat Flour), Edible Vegetable Oil (Palm), Iodised Salt, Acidity Regulators (INS 451(i), INS 500(i)), Antioxidant (INS 319), Thickener (INS 412). Seasoning Mix (17.34%) – Dehydrated Vegetables & Herbs (20.2%) (French Beans, Carrot, Green Peas, Kibbled Onion & Coriander Leaves), Iodised Salt, Spice Mix (3.19%) (Coriander Seeds, Cumin Seeds, Roasted Curry Leaves, Turmeric, Red Chilli, Cinnamon, Black Pepper, Clove, Star Anise, Nutmeg, Fennel, Bay Leaf, Ginger, Mace, Asafoetida), Green Cardamom & Fenugreek, Sugar, Vegetable Fat Powder (Palm), Coconut & Whey, Onion Powder, Flavour Enhancers (INS 621 & INS 631), INS 627, Noodle Powder (Atta (Wheat Flour), Edible Vegetable Oil (Palm), Iodised Salt), Acidity Regulators (INS 451(i), INS 500(i)), Antioxidant (INS 319) & Thickener (INS 412), Corn Starch, Hydrolysed Vegetable Protein (Soy), Tomato Powder, Garlic Powder, Acidity Regulator (INS 330), Colour (INS 160c) & Anticaking Agent (INS 551)."
Cola,Campa,"CARBONATED WATER, SUGAR, ACIDITY REGULATORS (338, 331(iii)), CAFFEINE (9.4 mg/100ml), COLOR (150d), PRESERVATIVE (211), NATURAL FLAVOURING SUBSTANCES"
Orange soft drink,Campa,"Carbonated Water, Sugar, Acidity Regulator (330), Stabilizers (414, 445), Colors (110, 122), Preservative (211), Natural and Nature Identical Flavouring Substances."
Energy drink - gold boost,Campa,"CARBONATED WATER, SUGAR, ACIDITY
REGULATORS (330, 331), TAURINE (360 mg/100 ml), CAFFEINE (30 mg/100 ml), VITAMINS (NIACIN, PANTOTHENIC ACID (2mg/100 ml), B6, B2, B12), PRESERVATIVE (211), COLOUR (150d), NATURAL & NATURE IDENTICAL FLAVOURING SUBSTANCES (MIXED BERRY)"
Cola zero sugar,Campa,"CARBONATED WATER, COLOR (150d), ACIDITY REGULATORS (338, 331(iii)), SWEETENER (955), PRESERVATIVE (211), CAFFEINE (9.4 mg/100ml), NATURAL FLAVOURING SUBSTANCES"
Power Up,Campa,"Carbonated Water, Sugar, Acidity Regulator (338), Caffeine (9Mg/100Ml), Colour (150D), Natural And Nature Identical Flavouring Substances"
Soft Drink,Thums Up,"Carbonated water, Sugar, Acidity Regular (338), Caffeine (8.3mg/100g), Colour (150d), Flavours (Nature-Identical & Artficial (Cola) flavouring substances)"
